FLX_ANN_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
201903.0,2.0,70.0,76.0,21673279.570000134,89303460.16000456,67630180.58999646
201901.0,1.0,50.0,76.0,16767214.480000082,63757248.05000103,46990033.56999808
201902.0,1.0,80.0,11.0,16700533.46000021,83780863.73000252,67080330.26999747
201909.0,1.0,20.0,28.0,2327722.2100000265,7648821.689999854,5321099.480000101
201903.0,1.0,70.0,76.0,17155610.809999976,89440369.49000554,72284758.67999825
201905.0,1.0,40.0,44.0,12474627.77999987,36523089.409998015,24048461.62999888
201904.0,1.0,40.0,93.0,11972999.460000044,40033017.569998845,28060018.109998353
201911.0,2.0,80.0,53.0,10632733.02000002,52252292.5899996,41619559.569998
201910.0,1.0,20.0,76.0,5695489.109999927,18707311.169998962,13011822.059999933
201912.0,2.0,80.0,93.0,25946338.420000196,151836016.7800152,125889678.35999657
201910.0,2.0,50.0,52.0,13614273.660000088,39249689.08999871,25635415.42999888
201907.0,2.0,40.0,11.0,52113854.109998226,121978028.9300063,69864174.81999624
201909.0,1.0,20.0,44.0,5352898.169999926,15383482.76999944,10030584.599999992
201911.0,2.0,30.0,5.0,3110547.0200000047,12787377.839999866,9676830.819999998
201901.0,1.0,30.0,52.0,4240803.770000026,13804913.53999957,9564109.770000001
201909.0,2.0,60.0,5.0,5405727.549999973,26345433.039998937,20939705.48999979
201906.0,2.0,30.0,84.0,17160337.56999987,52860962.649999775,35700625.079997644
201901.0,2.0,0.0,76.0,15151448.530000072,40047948.72999854,24896500.199999157
201904.0,1.0,30.0,52.0,4180038.160000039,13458635.969999457,9278597.810000028
201906.0,1.0,40.0,28.0,5442542.049999955,17348847.059999134,11906305.009999868
201912.0,1.0,80.0,32.0,8509764.139999885,50099893.640000075,41590129.4999982
201903.0,2.0,80.0,84.0,24723593.34000009,112435100.37000148,87711507.02999657
201909.0,1.0,30.0,32.0,7315597.0399998985,24218721.479998846,16903124.439999834
201910.0,1.0,0.0,52.0,10548857.759999998,26022499.37999825,15473641.62
201912.0,2.0,70.0,27.0,10701849.979999926,39255805.16999831,28553955.18999757
201904.0,2.0,70.0,53.0,10662910.35000002,42102052.689999424,31439142.339998182
201911.0,2.0,0.0,28.0,8330311.34999975,20088613.339998797,11758301.989999978
201905.0,2.0,70.0,44.0,21071558.170000073,75239157.38000281,54167599.209996946
201908.0,2.0,50.0,75.0,15643341.400000073,52433369.619999565,36790028.21999783
201910.0,1.0,60.0,84.0,28015911.08999949,116570470.18000779,88554559.08999886
201906.0,1.0,50.0,27.0,7005387.0499999,23732984.259998243,16727597.20999944
201906.0,1.0,30.0,84.0,10469832.009999948,30450654.10999822,19980822.09999939
201907.0,2.0,50.0,24.0,9653468.619999975,28629890.50999782,18976421.889999274
201902.0,2.0,70.0,53.0,9236590.539999913,36509508.79999798,27272918.25999795
201911.0,1.0,0.0,28.0,7507988.819999817,20479666.509998634,12971677.690000102
201911.0,1.0,20.0,93.0,4807274.169999972,16366709.09999929,11559434.929999977
201904.0,2.0,30.0,75.0,11623499.589999843,37499561.769998476,25876062.179998677
201902.0,1.0,0.0,24.0,5198821.339999975,13901734.919999186,8702913.580000142
201908.0,2.0,0.0,24.0,4010692.2700000205,9696494.219999634,5685801.950000142
201907.0,1.0,20.0,76.0,5851150.259999879,18364990.579999037,12513840.320000075
201907.0,1.0,50.0,44.0,20798368.05999983,64860691.080001816,44062323.01999819
201909.0,1.0,20.0,5.0,1075991.4600000072,4309505.000000022,3233513.53999999
201909.0,2.0,80.0,24.0,7256507.579999838,33050679.669996988,25794172.089998186
201906.0,1.0,50.0,28.0,8018812.409999867,28655607.209997937,20636794.799999062
201910.0,2.0,30.0,93.0,13826630.749999901,46123063.97999944,32296433.22999766
201912.0,1.0,0.0,32.0,17598756.450000048,43855657.739999615,26256901.28999932
201911.0,1.0,70.0,27.0,7693670.069999819,36720467.50999779,29026797.43999785
201906.0,2.0,50.0,5.0,5768579.049999987,23473312.889999304,17704733.83999993
201912.0,2.0,50.0,24.0,9651480.769999845,28336327.059997987,18684846.289999187
201902.0,2.0,70.0,52.0,10338524.509999981,36749628.269997895,26411103.759998042
201907.0,2.0,50.0,5.0,6940639.849999961,27053977.429998945,20113337.57999984
201906.0,1.0,20.0,24.0,1646895.9400000083,5051822.549999962,3404926.610000051
201902.0,2.0,30.0,84.0,17419717.969999883,53796622.63000074,36376904.65999778
201908.0,1.0,0.0,24.0,3656086.4000000157,10005059.229999587,6348972.830000111
201901.0,2.0,60.0,76.0,22197221.019999843,85012816.56000434,62815595.539997585
201908.0,2.0,70.0,27.0,6760340.99999985,29250963.23999707,22490622.239998188
201912.0,1.0,70.0,27.0,8860366.829999799,40289928.689997904,31429561.85999746
201906.0,1.0,20.0,11.0,13815983.11999984,37467397.82999839,23651414.709998704
201909.0,1.0,60.0,5.0,4213315.41999999,28366108.469999,24152793.049999796
201905.0,2.0,60.0,32.0,21364722.319999628,85188149.30000356,63823426.97999769
201906.0,2.0,50.0,75.0,20124906.31000003,62266556.74000131,42141650.42999706
201902.0,2.0,40.0,44.0,15862114.190000013,42689418.03999905,26827303.84999882
201902.0,2.0,50.0,93.0,21188132.549999982,71131725.99000292,49943593.439998224
201906.0,2.0,40.0,53.0,7448631.889999871,22173155.87999874,14724523.989999719
201905.0,2.0,40.0,75.0,16213833.019999944,46373294.62999898,30159461.60999848
201902.0,1.0,70.0,28.0,7103694.5799998725,36307525.229998305,29203830.64999797
201905.0,1.0,30.0,75.0,6722050.319999909,22089025.749998894,15366975.429999901
201906.0,1.0,50.0,76.0,15552611.53000002,58710242.94000175,43157631.40999773
201908.0,2.0,30.0,75.0,8431636.479999837,29207046.179997873,20775409.699999034
201905.0,1.0,0.0,84.0,21946281.869999964,58169320.94000019,36223039.06999835
201906.0,2.0,30.0,75.0,10257321.75999978,33988389.589997545,23731067.829998665
201907.0,2.0,30.0,24.0,4736452.929999985,15221310.159999205,10484857.230000032
201908.0,2.0,60.0,32.0,15186900.059999889,67553396.22000173,52366496.15999726
201911.0,2.0,0.0,84.0,23461361.320000067,54669134.410000056,31207773.089998707
201902.0,2.0,40.0,28.0,7492148.449999858,21798533.359998807,14306384.909999738
201911.0,1.0,50.0,32.0,15456624.80000001,59600773.230000526,44144148.42999773
201903.0,2.0,40.0,53.0,8434660.829999857,23336875.849998932,14902215.019999787
201912.0,2.0,0.0,28.0,9387389.339999909,23334919.34999838,13947530.009999907
201904.0,2.0,70.0,27.0,10460471.959999904,40127816.679998584,29667344.71999766
201910.0,2.0,40.0,52.0,10687948.74999996,29634877.919998348,18946929.16999956
201902.0,2.0,40.0,76.0,15921030.62000002,47909202.46000055,31988171.83999818
201903.0,1.0,60.0,32.0,17611897.09999983,89681729.41000175,72069832.30999838
201908.0,2.0,80.0,53.0,8652667.029999895,47831140.760000005,39178473.72999777
201912.0,1.0,30.0,76.0,7935340.919999873,25238318.879998535,17302977.95999989
201909.0,1.0,80.0,11.0,14580957.160000032,80662271.46000369,66081314.29999707
201912.0,1.0,30.0,32.0,8333864.33999984,26398466.729998723,18064602.38999965
201910.0,1.0,80.0,24.0,5229494.449999945,27097780.71999781,21868286.269998733
201908.0,2.0,0.0,27.0,4240807.300000044,10012898.209999543,5772090.910000095
201901.0,1.0,30.0,11.0,23139063.299999803,60911943.28000035,37772879.97999807
201909.0,1.0,70.0,84.0,19011494.0600003,91130316.44000365,72118822.37999654
201904.0,2.0,30.0,93.0,12929627.019999862,42926037.13999909,29996410.119997993
201901.0,2.0,40.0,76.0,15837601.799999911,48509534.14999976,32671932.349998105
201905.0,1.0,0.0,75.0,13527067.890000002,35087372.51999795,21560304.62999943
201904.0,2.0,20.0,93.0,8867533.529999636,28155864.199997492,19288330.669999357
201903.0,2.0,30.0,52.0,7111822.639999876,22761295.739998795,15649473.099999743
201902.0,2.0,50.0,24.0,8201312.919999774,24528416.219998293,16327103.299999623
201904.0,2.0,60.0,32.0,22063332.74999971,86813331.89000304,64749999.13999828
201911.0,2.0,0.0,27.0,6437134.509999874,14480934.519999258,8043800.01000014
201907.0,1.0,50.0,5.0,4938847.339999967,23892045.469999485,18953198.12999984
201912.0,1.0,0.0,11.0,42519192.73999867,116698978.22000395,74179785.47999658
201902.0,1.0,0.0,53.0,7028128.319999845,19147921.57999924,12119793.259999963
201904.0,1.0,70.0,24.0,7083147.889999843,34527002.67999775,27443854.789997913
201909.0,2.0,50.0,75.0,18953548.709999803,59835590.510000594,40882041.799997345
201909.0,1.0,0.0,53.0,7708499.019999844,18901518.569998953,11193019.550000042
201901.0,2.0,50.0,52.0,11411674.029999996,35081753.749998145,23670079.719998885
201911.0,1.0,70.0,32.0,12571961.02999993,70589658.79000345,58017697.75999762
201911.0,2.0,80.0,28.0,9598342.529999822,45489228.94000017,35890886.40999815
201912.0,1.0,0.0,84.0,24908637.889999785,67124795.76000002,42216157.86999741
201906.0,1.0,0.0,76.0,13181950.790000001,38324644.2699983,25142693.479999308
201905.0,1.0,30.0,5.0,1630133.1799999962,6907634.67000003,5277501.489999997
201907.0,1.0,40.0,32.0,12888655.51999993,41246707.66999902,28358052.14999847
201911.0,2.0,60.0,24.0,9301764.959999857,32102766.45999771,22801001.499998767
201910.0,2.0,60.0,93.0,25948855.619999792,97731993.92000523,71783138.2999968
201902.0,2.0,80.0,52.0,9612109.64999992,41116232.60999992,31504122.95999762
201910.0,1.0,70.0,32.0,14517273.030000057,79680105.89000261,65162832.859997556
201908.0,2.0,80.0,52.0,8780216.559999876,40184530.349998854,31404313.78999769
201907.0,1.0,0.0,11.0,39786239.57999925,110553657.13000557,70767417.54999478
201906.0,2.0,40.0,84.0,22645230.35999997,60745234.20000009,38100003.839997396
201911.0,2.0,60.0,93.0,22612449.799999665,86100790.8900047,63488341.08999761
201904.0,1.0,70.0,28.0,8106025.459999859,41753315.299999885,33647289.839997694
201909.0,1.0,40.0,5.0,2897929.8699999913,11192482.069999892,8294552.200000041
201912.0,2.0,30.0,75.0,12142281.389999915,38430712.39999819,26288431.009998146
201905.0,2.0,70.0,32.0,17915722.280000128,77439186.06000444,59523463.77999721
201904.0,2.0,60.0,44.0,25029941.859999616,81827286.15000488,56797344.28999695
201903.0,2.0,30.0,53.0,5467627.5599999055,18396550.12999919,12928922.569999758
201908.0,2.0,20.0,84.0,10495805.459999802,31565907.53999653,21070102.079998977
201910.0,2.0,0.0,28.0,9532888.85999991,23693303.01999858,14160414.160000004
201903.0,2.0,20.0,11.0,24502876.57999983,61322345.08000125,36819468.49999667
201912.0,1.0,30.0,27.0,3470610.6200000327,10017785.039999679,6547174.4200000465
201902.0,1.0,20.0,84.0,8266952.729999699,23519092.709998347,15252139.979999946
201909.0,1.0,70.0,32.0,11607715.649999967,68636124.05000217,57028408.399997264
201908.0,1.0,40.0,75.0,8459580.39999985,28453248.14999817,19993667.749999348
201907.0,2.0,60.0,11.0,47566572.579997696,140922698.04001093,93356125.45999578
201902.0,1.0,20.0,5.0,905067.2800000058,3916610.1100000283,3011542.830000005
201901.0,1.0,60.0,28.0,9768901.199999932,49479245.03999991,39710343.839998454
201907.0,2.0,20.0,44.0,9669642.539999787,28454107.439997647,18784464.89999969
201911.0,1.0,0.0,44.0,15332141.290000096,36548790.78999821,21216649.49999934
201903.0,2.0,40.0,52.0,10195805.089999918,27318407.909998164,17122602.81999965
201903.0,1.0,60.0,5.0,4304577.909999977,27196393.149999306,22891815.239999946
201904.0,2.0,20.0,24.0,3149948.720000033,9624012.289999567,6474063.570000092
201909.0,2.0,20.0,76.0,8114507.359999759,26756037.349997766,18641529.98999957
201908.0,1.0,30.0,84.0,7544013.16999984,24141232.909998383,16597219.73999986
201908.0,2.0,30.0,93.0,9357066.51999978,33234070.8599971,23877004.33999841
201901.0,1.0,30.0,53.0,3298727.6400000146,11183449.979999656,7884722.340000078
201909.0,2.0,30.0,32.0,11263929.069999896,38544517.07999901,27280588.009998642
201907.0,2.0,50.0,84.0,33940905.44999941,92420110.27000418,58479204.81999727
201912.0,2.0,40.0,32.0,17701906.729999803,50440960.15999965,32739053.42999869
201903.0,1.0,80.0,44.0,12034887.809999919,51602701.52000068,39567813.70999801
201903.0,2.0,50.0,53.0,10927087.86999998,32000756.029998273,21073668.15999941
201909.0,2.0,70.0,84.0,23413924.690000053,91103483.12000632,67689558.42999583
201910.0,1.0,80.0,5.0,2373347.119999989,20223932.009999543,17850584.889999833
201908.0,1.0,50.0,24.0,4827285.419999999,18026422.789998803,13199137.369999705
201910.0,2.0,20.0,27.0,3794761.670000041,11372564.599999437,7577802.930000003
201902.0,2.0,50.0,75.0,20502621.080000065,62868943.74000144,42366322.659997456
201908.0,2.0,20.0,76.0,7114864.939999728,24063876.569997746,16949011.62999987
201903.0,2.0,80.0,28.0,9519115.019999862,44839679.189999916,35320564.16999833
201901.0,1.0,80.0,28.0,4999390.55999998,28957251.719998352,23957861.159999035
201911.0,1.0,50.0,11.0,37349582.71999917,110744165.57000552,73394582.84999843
201911.0,2.0,20.0,84.0,11802005.279999878,34520196.96999726,22718191.68999885
201904.0,2.0,50.0,52.0,12295052.860000033,35545366.359997824,23250313.499998856
201911.0,1.0,80.0,75.0,12165875.259999989,70113465.12000212,57947589.85999742
201907.0,1.0,80.0,11.0,18296099.890000217,91718415.02000542,73422315.12999608
201909.0,2.0,80.0,5.0,4005570.559999978,31590462.2699996,27584891.709999766
201903.0,2.0,70.0,84.0,27595347.909999877,97321822.43000327,69726474.51999684
201912.0,1.0,0.0,28.0,8595525.81999988,24565309.659998614,15969783.839999957
201909.0,1.0,20.0,32.0,5073013.369999942,16037679.379999503,10964666.010000076
201906.0,2.0,40.0,5.0,4387432.239999982,15989148.449999701,11601716.209999908
201910.0,1.0,70.0,27.0,9038678.51999984,41569240.599998824,32530562.079997957
201903.0,1.0,40.0,75.0,11640285.56999988,35129243.3599984,23488957.789998796
201908.0,2.0,80.0,32.0,15045851.920000115,80198705.90000287,65152853.979998484
201904.0,1.0,0.0,84.0,22888070.72999983,61868372.48000027,38980301.749997795
201902.0,1.0,40.0,44.0,11795882.299999928,33467369.939997822,21671487.639998972
201906.0,1.0,50.0,52.0,9026644.239999935,30373195.209998023,21346550.969998937
201912.0,2.0,50.0,32.0,22336078.25999981,71085111.90000212,48749033.63999807
201903.0,1.0,20.0,5.0,994564.7300000023,4695826.1000000285,3701261.3699999982
201910.0,1.0,80.0,52.0,6733989.3699999,34263902.46999821,27529913.09999867
201911.0,1.0,30.0,93.0,6891996.899999896,23337006.319998603,16445009.419999838
201901.0,1.0,50.0,52.0,9529653.06999987,32912954.17999831,23383301.1099991
201907.0,1.0,0.0,5.0,3502406.599999982,13942765.139999729,10440358.539999967
201908.0,1.0,20.0,27.0,1544331.090000009,4666549.12000003,3122218.030000041
201908.0,1.0,0.0,5.0,3063609.1000000043,9876253.059999906,6812643.960000008
201907.0,1.0,20.0,93.0,5514285.909999941,18620329.189998887,13106043.279999986
201904.0,1.0,70.0,93.0,18685022.480000045,102411529.55000584,83726507.06999876
201901.0,1.0,50.0,27.0,7508809.239999856,25605488.989998594,18096679.749999356
201908.0,2.0,50.0,32.0,14619422.630000042,53560913.410001,38941490.77999754
201908.0,2.0,80.0,93.0,20964544.930000197,137315267.79000604,116350722.85999694
201909.0,2.0,30.0,44.0,11307600.84999984,35692114.14999845,24384513.299998585
201906.0,1.0,60.0,5.0,4241973.21000001,31800483.539999206,27558510.32999993
201904.0,1.0,0.0,24.0,5699365.989999943,14922874.429999165,9223508.44000012
201904.0,1.0,30.0,84.0,11510172.219999788,33811330.399998106,22301158.179999206
201906.0,2.0,20.0,32.0,7387278.779999885,24233293.629998382,16846014.849999968
201911.0,2.0,20.0,24.0,2729663.98000003,8859779.469999656,6130115.490000059
201909.0,2.0,40.0,93.0,14961106.759999907,45578323.709998846,30617216.949997984
201910.0,2.0,60.0,5.0,6821132.729999971,30688695.63999917,23867562.910000138
201912.0,2.0,0.0,11.0,43936380.049998716,100989107.98000614,57052727.92999656
201907.0,2.0,20.0,11.0,27510945.759999596,68370997.7100014,40860051.949995905
201909.0,2.0,30.0,52.0,6474817.229999875,21388871.15999856,14914053.929999694
201903.0,2.0,40.0,93.0,17854357.740000002,51839227.290000096,33984869.54999796
201907.0,2.0,40.0,5.0,5186998.049999993,18096859.239999663,12909861.190000014
201908.0,1.0,70.0,5.0,3021984.5099999844,22852657.799999133,19830673.289999846
201911.0,1.0,0.0,84.0,21942792.270000074,56865942.55999973,34923150.28999849
201908.0,2.0,60.0,76.0,16650732.660000253,69233541.72000116,52582809.05999653
201908.0,1.0,50.0,93.0,12389330.319999961,52160473.17999997,39771142.85999799
201902.0,2.0,70.0,76.0,21104096.650000107,87844660.79000595,66740564.1399969
201908.0,1.0,50.0,11.0,24729013.17999984,85670245.87000328,60941232.689996384
201902.0,1.0,30.0,24.0,2420076.440000024,7671653.70999983,5251577.270000065
201903.0,2.0,70.0,28.0,10283161.599999879,40092529.08999927,29809367.489997946
201904.0,2.0,20.0,75.0,8121791.449999665,24508883.189997718,16387091.739999829
201912.0,2.0,50.0,11.0,58458394.97999744,144773978.16000938,86315583.1799964
201904.0,1.0,40.0,52.0,7033336.949999904,20623820.83999896,13590483.889999824
201905.0,2.0,20.0,84.0,14331844.59999993,41585920.74999872,27254076.14999789
201912.0,2.0,80.0,24.0,8159176.399999872,36005950.709997706,27846774.30999809
201905.0,1.0,50.0,11.0,37350497.77999928,113583950.64000304,76233452.85999672
201909.0,1.0,0.0,11.0,39438425.1199992,90560833.75000271,51122408.62999721
201908.0,2.0,80.0,27.0,7443642.119999845,35878805.459997766,28435163.339998107
201903.0,1.0,50.0,84.0,24892629.99999974,75687180.54000084,50794550.53999751
201909.0,2.0,30.0,75.0,10218700.069999877,34035087.39999814,23816387.32999888
201903.0,1.0,70.0,84.0,22493193.56000017,97242960.97000381,74749767.40999798
201902.0,1.0,60.0,52.0,10294537.58999988,44852035.529999025,34557497.93999839
201912.0,2.0,20.0,44.0,9267351.94999984,26864367.42999808,17597015.47999977
201907.0,1.0,70.0,24.0,7347935.429999759,35249846.10999783,27901910.679997716
201911.0,2.0,30.0,32.0,11379751.34999984,38392325.55999871,27012574.209998526
201907.0,2.0,30.0,84.0,19861456.199999817,59888816.35000025,40027360.14999731
201907.0,2.0,40.0,93.0,17098350.46999998,50746942.72999921,33648592.25999787
201910.0,1.0,40.0,84.0,19821544.30999994,54980127.46999996,35158583.15999837
201909.0,1.0,50.0,24.0,6065840.59999987,21020427.029998332,14954586.429999555
201903.0,1.0,80.0,24.0,4507580.62999998,24164341.149998248,19656760.519999072
201904.0,1.0,60.0,93.0,19114307.85999983,100560995.17000593,81446687.30999851
201910.0,1.0,60.0,53.0,10764047.77999998,48603588.96999984,37839541.18999791
201907.0,1.0,30.0,27.0,3264645.950000037,9731157.329999689,6466511.38000009
201910.0,1.0,20.0,44.0,5911339.209999946,16975539.349999357,11064200.14000003
201902.0,2.0,40.0,84.0,23215177.65999992,61210522.4600006,37995344.79999766
201902.0,2.0,50.0,27.0,9313290.959999865,27831819.039998047,18518528.079999413
201912.0,1.0,70.0,11.0,30768889.650000475,128617760.69000585,97848871.0399962
201908.0,1.0,80.0,27.0,3885428.2500000405,23529985.18999785,19644556.939999
201902.0,1.0,70.0,84.0,21066017.41000003,92370589.33000344,71304571.91999865
201906.0,1.0,60.0,32.0,16242364.100000134,91072968.52000356,74830604.41999817
